system:index,B,EVI,EVI2,G,GNDVI,GVMI,MNDWI,MSAVI,NDBI,NDMI,NDRE,NDVI,NDWI,NDWI2,NIR,NRVI,R,RE1,RE2,RE3,RE4,RVI,SAVI,SIWSI,SLAVI,SR,b1,swir1,swir2,.geo
20230611T103631_20230611T104650_T31TEJ,2032.6455022250477,1.3334294697354656,0.4856743668613463,2332.8660203432933,0.2781849831829214,0.08608590804238554,-0.09243492284139805,3365.260648442467,-0.08607626670772023,0.08607626670772023,0.19231739277610307,0.285515508381819,-0.2781849831829214,0.19196352336948272,4183.695883661792,-0.285515508381819,2302.1767323585505,2810.3944294342023,3904.679076605213,4219.355808963764,4379.717180546726,0.5663189155516271,0.5709414935199796,0.10895491720561835,0.8262243676003043,1.8647409562896398,-0.4022538717253437,3519.538064208519,2819.844206929434,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230616T103629_20230616T103659_T31TEJ,1800.4771535282898,1.7719592024724824,0.6735708558074189,2169.2493245390974,0.3714257718967105,0.10297625484950255,-0.15179503770659578,-4003.870311506675,-0.10296834847749765,0.10296834847749765,0.26985358795326087,0.3825510073652018,-0.3714257718967105,0.23173156866408923,4740.619755244756,-0.3825510073652018,2120.06798315321,2723.8816751430386,4206.0880880483155,4668.659766369994,4858.833796884934,0.4511127894894451,0.7649898285861385,0.11542817538423678,0.9527841046306103,2.2897636369997056,-0.47232620922736346,3854.221074380165,2964.1936188811187,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230626T103629_20230626T103659_T31TEJ,1739.4252622377621,1.6332808720578489,0.7186740483963282,2139.771694214876,0.3971175000692681,0.09669583155894389,-0.19346427260150495,-5847.9055944055945,-0.09668824483522673,0.09668824483522673,0.28168735435484576,0.403627193794906,-0.3971175000692681,0.22009547080291025,4961.362245708837,-0.403627193794906,2115.1870232040687,2782.276382708201,4410.134416719644,4935.622099491417,5149.126986649714,0.429774386576351,0.8071394103496446,0.11538385533428369,0.9596749701362622,2.4176022515453397,-0.40383493119953773,4088.072472981564,3183.4017005721553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230701T103631_20230701T104159_T31TEJ,11210.579624920534,-0.030652072662214033,0.012627058016697706,10444.849173553719,-0.01223194513309177,0.20811483049537208,0.30301975547718146,78854.91417673236,-0.20811153741807858,0.20811153741807858,-0.0364446307454473,0.008517911889250381,0.01223194513309177,0.29198356093146116,10181.748569612206,-0.008517911889250385,10019.306420851875,10962.256476478067,10345.406071201525,9932.384138588684,9634.253933566433,0.9832881467136759,0.01703492149267425,0.1817527570305752,0.6530516123234194,1.017374207590365,,6656.283415448188,5564.7907263191355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230706T103629_20230706T104848_T31TEJ,2103.518396376351,1.2660126205895,0.5623064986011336,2440.528965352829,0.32912198030904616,0.10778165749619349,-0.12370780211896643,959.7774952320407,-0.10777386576299774,0.10777386576299774,0.23176996058641897,0.3266736423757559,-0.32912198030904616,0.2151845177104371,4789.987364907819,-0.3266736423757559,2454.9797759059124,3003.5609901462176,4269.187937062937,4715.083995549905,4921.689327717737,0.5145226370434918,0.653255284820783,0.12139975407649563,0.876663529958996,2.0219121452264903,-0.6305056571359141,3858.7459869675777,3096.2563572790846,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230711T103631_20230711T104102_T31TEJ,1677.2870708836617,1.121941840669464,0.6083626089036253,2155.976557533376,0.36681743228520797,0.07691552715773986,-0.1763786799265146,-1363.9338842975208,-0.07690731295406932,0.07690731295406932,0.2391119483519668,0.3510708956248025,-0.36681743228520797,0.2037194185258367,4651.759853782581,-0.3510708956248024,2240.6340591226954,2857.9568897012077,4203.640058804832,4634.407938652257,4902.749920534012,0.4845015298814049,0.7020392484467963,0.10314591830802222,0.8871064552278635,2.1200016142631175,-0.7584847670465291,3986.7759059122695,3081.411792752702,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230716T103629_20230716T103634_T31TEJ,1761.6563493324857,1.2849021702620047,0.6151662137668163,2150.282978385251,0.37259242721805735,0.06651980048843967,-0.2013689640190126,-1604.5998092816274,-0.06651161013587878,0.06651161013587878,0.24394228018418407,0.3538805339880821,-0.37259242721805735,0.18505190831096416,4705.121543229498,-0.35388053398808217,2252.2732835346474,2861.3465114431024,4187.183129370629,4679.586697393515,4920.486808645899,0.48228181751169075,0.7076585605995798,0.0889744146324183,0.8732279571478112,2.1439893535564996,-0.6458050854402273,4118.447155117609,3243.440042911634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230721T103631_20230721T104035_T31TEJ,2253.4446916719644,0.9857779734586957,0.49764202798335294,2609.179076605213,0.3129957992539678,0.05226500346184184,-0.1548037914501973,4660.81500317864,-0.05225687756669039,0.05225687756669039,0.2008923745356345,0.2926117438546821,-0.3129957992539678,0.16734086074027002,4870.917116973935,-0.2926117438546821,2726.7594961856325,3289.228583916084,4396.764264144946,4758.257310870948,5009.322592180547,0.5562244183991412,0.5851417134445298,0.06671897704578508,0.8081588192327331,1.8829055460718633,-0.6928053983126709,4419.517522250477,3523.5011919898284,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230726T103629_20230726T103642_T31TEJ,1844.2344246662428,1.219716144359254,0.5833248990535722,2231.3569612205974,0.36353162638882247,0.08003574016791627,-0.1803752090228576,-355.2600127145582,-0.0800277607563012,0.0800277607563012,0.2425495131375597,0.3385540943602841,-0.36353162638882247,0.19594009258211145,4780.307453909727,-0.3385540943602841,2367.9499761602033,2914.9587174189446,4147.826565479974,4595.935870947234,4870.148800063573,0.4983835218172501,0.6770128134252484,0.08950904947592414,0.8690431208684366,2.0608225724739673,-0.6542095766190981,4071.57104259377,3218.5194691671963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230731T103631_20230731T104041_T31TEJ,1627.9713525111251,1.1225822679828747,0.620479007698376,2050.1155038143675,0.38530443553371335,0.06859023360005308,-0.207287701227568,-1760.3019707565163,-0.06858190226330896,0.06858190226330896,0.2492884137410232,0.35641449189229857,-0.38530443553371335,0.19351859060568205,4619.173712650985,-0.35641449189229857,2199.56798315321,2778.132112205976,4040.2299745708838,4461.681659249841,4752.348498092816,0.4795909464873538,0.7127235161195675,0.08302844716447472,0.8847206317446378,2.1586260575009057,-0.7777931667125422,4027.464558169104,3128.380284488239,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230805T103629_20230805T103641_T31TEJ,3808.4274872854417,0.12791598270212326,0.24374658521515133,3828.5667514303877,0.15279172396929097,0.048317561364480094,-0.02945228236189121,22445.93070565798,-0.0483070700760398,0.0483070700760398,0.10321444021175549,0.15072081195090836,-0.15279172396929097,0.1249938558228067,4877.3153210425935,-0.15072081195090836,3841.5283296249204,4180.377979974571,4624.86923871583,4814.413660203433,4883.849690082645,0.7499468280312994,0.3013858534046387,0.054627802362638644,0.6687975938341372,1.392789030844036,-0.7070791610368379,4483.842260012714,3882.534647171011,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230810T103631_20230810T104318_T31TEJ,1639.032660521297,0.9061035482272628,0.5605345155769643,2148.8514780673872,0.36430624876840084,0.05763839763269738,-0.1896170463895507,680.0979020979021,-0.0576299840984908,0.0576299840984908,0.22002562649761653,0.3268969147055431,-0.36430624876840084,0.18799819171919763,4605.369834710744,-0.3268969147055431,2345.1910362364906,2948.2917593769866,4133.030356007629,4549.7806341385885,4847.312341068023,0.5119874452843326,0.653698939846101,0.08326797022241426,0.8506959636912842,2.0082191218194323,-0.9861952147475584,4104.750437062937,3153.372576287349,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230815T103629_20230815T104417_T31TEJ,2448.742967260013,1.0388268086595014,0.45415396899558746,2714.914534329307,0.28853119535839034,0.049414018528909795,-0.13259954654790843,7161.562619198983,-0.04940524629015341,0.04940524629015341,0.18320276330777852,0.26865750973969554,-0.28853119535839034,0.1639027195862127,4761.572552447553,-0.26865750973969554,2828.3839399237127,3350.718452002543,4335.079982517483,4764.150508582326,5013.56965193897,0.5880346722265823,0.5372362342169715,0.07580302493070709,0.7866799816696602,1.797199832313281,-0.88895912985537,4345.158931977114,3461.606444691672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230820T103631_20230820T104400_T31TEJ,1629.3833041958042,0.9705249578404025,0.5544437672089462,2058.862166242848,0.36318174646634904,0.041756066561740766,-0.20262355919482666,1037.7590591226956,-0.04174716266361675,0.04174716266361675,0.21536210548233214,0.3228671060390832,-0.36318174646634904,0.17373465341309074,4401.838445645264,-0.3228671060390832,2265.7791640178,2848.0977828989194,3952.930189129053,4370.680387794024,4690.703830260649,0.5183110253887867,0.6456360923124556,0.0736411429517186,0.8370596837138004,2.0038541100056504,-1.0661168043529503,4053.3983232676414,3107.8225921805465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230825T103629_20230825T104401_T31TEJ,7042.693221551176,-0.14033946862238703,0.09235997484476374,6696.283693579148,0.04255314009491279,0.06711194598717397,0.07821009388670792,46303.025111252384,-0.06710625347578789,0.06710625347578789,0.02358324100635008,0.0600337798102963,-0.04255314009491279,0.12029762278048207,7144.352948188175,-0.0600337798102963,6466.115543547362,6927.41715670693,7047.070526064845,7143.419024157661,7108.098061029879,0.8910899516003663,0.12005589268082832,0.06651920933071401,0.6007620641170675,1.1349168467196187,-1.193001207552458,6237.898839796567,5642.003297838525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230830T103631_20230830T104634_T31TEJ,1774.998688811189,1.1851275171311138,0.5474051991415979,2139.6001271455816,0.3457403461528485,0.056695708938283844,-0.166039424993477,1111.8118245390972,-0.056686917968695065,0.056686917968695065,0.22082998673388302,0.32058130105281346,-0.3457403461528485,0.19013029885730762,4403.154561347743,-0.32058130105281346,2271.0655197075653,2812.6797123331216,3841.2181341385885,4221.545851875398,4569.453711061666,0.5185639496217224,0.6410658912304023,0.07531155224205982,0.8489089085256377,1.9743246093208222,-1.0111243892461061,3940.253575969485,3010.34500158932,"{""type"":""MultiPoint"",""coordinates"":[]}"
